"Gene","Outcome","Group","Regulation","lfc","padj","Significant"
"CDKN1A","Survived","Pre-response","None",-0.244214525936036,0.999507493356054,FALSE
"LAG3","Survived","Pre-response","None",0.242187390753495,0.999507493356054,FALSE
"BATF","Survived","Pre-response","None",-0.242045408964802,0.999507493356054,FALSE
"ATG10","Survived","Pre-response","None",-0.239807670350908,0.999507493356054,FALSE
"GPR183","Survived","Pre-response","None",-0.239044266480708,0.999507493356054,FALSE
"HLA-DRA","Survived","Pre-response","None",0.238682386858729,0.999507493356054,FALSE
"SLAMF1","Survived","Pre-response","None",-0.238520572522583,0.999507493356054,FALSE
"PLCB1","Survived","Pre-response","None",0.235863855862352,0.999507493356054,FALSE
"HIF1A","Survived","Pre-response","None",-0.234427299779915,0.999507493356054,FALSE
"IKBKAP","Survived","Pre-response","None",0.234397568177602,0.999507493356054,FALSE
"CDC42","Survived","Pre-response","None",0.232923026898879,0.999507493356054,FALSE
"GZMB","Survived","Pre-response","None",0.232568158706854,0.999507493356054,FALSE
"GUSB","Survived","Pre-response","None",-0.230984692404363,0.999507493356054,FALSE
"XCL1","Survived","Pre-response","None",-0.229849313533115,0.999507493356054,FALSE
"HLA-DMB","Survived","Pre-response","None",0.229235566687677,0.999507493356054,FALSE
"FAS","Survived","Pre-response","None",-0.229175767143243,0.999507493356054,FALSE
"SMAD2","Survived","Pre-response","None",-0.228566298260411,0.999507493356054,FALSE
"BLK","Survived","Pre-response","None",-0.228325177803479,0.999507493356054,FALSE
"LILRA4","Survived","Pre-response","None",0.228114841997569,0.999507493356054,FALSE
"ALAS1","Survived","Pre-response","None",-0.227058479701848,0.999507493356054,FALSE
"TNFAIP6","Survived","Pre-response","None",0.226149034882237,0.999507493356054,FALSE
"IRF5","Survived","Pre-response","None",-0.225378955986909,0.999507493356054,FALSE
"NLRP3","Survived","Pre-response","None",0.225165920391907,0.999507493356054,FALSE
"CD97","Survived","Pre-response","None",0.224020717467765,0.999507493356054,FALSE
"MIF","Survived","Pre-response","None",0.223631108501069,0.999507493356054,FALSE
"ITGAL","Survived","Pre-response","None",0.222575740720632,0.999507493356054,FALSE
"DEFB1","Survived","Pre-response","None",0.222153609344955,0.999507493356054,FALSE
"RELA","Survived","Pre-response","None",0.221650317385829,0.999507493356054,FALSE
"CD247","Survived","Pre-response","None",-0.219891481352516,0.999507493356054,FALSE
"GZMH","Survived","Pre-response","None",0.219855270945059,0.999507493356054,FALSE
"GNB1","Survived","Pre-response","None",-0.216538703268997,0.999507493356054,FALSE
"CXCL5","Survived","Pre-response","None",0.216494285194268,0.999507493356054,FALSE
"IL29","Survived","Pre-response","None",-0.215731866049612,0.999507493356054,FALSE
"CD69","Survived","Pre-response","None",0.215295409701679,0.999507493356054,FALSE
"ITGA2B","Survived","Pre-response","None",-0.213677890520456,0.999507493356054,FALSE
"GZMM","Survived","Pre-response","None",-0.210787647613683,0.999507493356054,FALSE
"SLAMF7","Survived","Pre-response","None",-0.210600113011901,0.999507493356054,FALSE
"PDCD2","Survived","Pre-response","None",-0.210204384444444,0.999507493356054,FALSE
"TLR3","Survived","Pre-response","None",0.209791320436639,0.999507493356054,FALSE
"HLA-B","Survived","Pre-response","None",0.209264399710834,0.999507493356054,FALSE
"FCGR2A","Survived","Pre-response","None",0.208886911325372,0.999507493356054,FALSE
"CD79B","Survived","Pre-response","None",0.208556214033113,0.999507493356054,FALSE
"CAMP","Survived","Pre-response","None",0.208245511982648,0.999507493356054,FALSE
"IFNAR1","Survived","Pre-response","None",0.208138949257981,0.999507493356054,FALSE
"TLR1","Survived","Pre-response","None",0.206310764236623,0.999507493356054,FALSE
"RIPK2","Survived","Pre-response","None",-0.205469385552116,0.999507493356054,FALSE
"IFI16","Survived","Pre-response","None",-0.204714061108035,0.999507493356054,FALSE
"PML","Survived","Pre-response","None",0.204281318168683,0.999507493356054,FALSE
"MAFF","Survived","Pre-response","None",0.20415179073918,0.999507493356054,FALSE
"IKZF2","Survived","Pre-response","None",-0.204026900682437,0.999507493356054,FALSE
"FCER1G","Survived","Pre-response","None",0.200834384615003,0.999507493356054,FALSE
"LILRA3","Survived","Pre-response","None",0.200794860903405,0.999507493356054,FALSE
"CD5","Survived","Pre-response","None",-0.20029124481379,0.999507493356054,FALSE
"SOCS3","Survived","Pre-response","None",0.198981581584649,0.999507493356054,FALSE
"ICOSLG","Survived","Pre-response","None",-0.198703046606552,0.999507493356054,FALSE
"EIF2AK2","Survived","Pre-response","None",0.195917771395305,0.999507493356054,FALSE
"SELPLG","Survived","Pre-response","None",0.194398767743852,0.999507493356054,FALSE
"CD46","Survived","Pre-response","None",0.194185901351455,0.999507493356054,FALSE
"IRF8","Survived","Pre-response","None",0.193772193748925,0.999507493356054,FALSE
"PSMB9","Survived","Pre-response","None",0.193013231970385,0.999507493356054,FALSE
"CFP","Survived","Pre-response","None",0.19286399298471,0.999507493356054,FALSE
"MX2","Survived","Pre-response","None",-0.192735361226055,0.999507493356054,FALSE
"PSMB10","Survived","Pre-response","None",0.191112571916383,0.999507493356054,FALSE
"BCL2L1","Survived","Pre-response","None",-0.188511823854412,0.999507493356054,FALSE
"FLT3LG","Survived","Pre-response","None",0.188437187404793,0.999507493356054,FALSE
"CCL5","Survived","Pre-response","None",-0.187836282948306,0.999507493356054,FALSE
"TNFSF14","Survived","Pre-response","None",-0.187444703057908,0.999507493356054,FALSE
"CD48","Survived","Pre-response","None",-0.185971639367439,0.999507493356054,FALSE
"FCGR2B","Survived","Pre-response","None",0.185145354660875,0.999507493356054,FALSE
"XCR1","Survived","Pre-response","None",0.183589397273609,0.999507493356054,FALSE
"BCL10","Survived","Pre-response","None",-0.183413460057476,0.999507493356054,FALSE
"MAPK14","Survived","Pre-response","None",0.179092499233374,0.999507493356054,FALSE
"CXCR1","Survived","Pre-response","None",0.178315395172417,0.999507493356054,FALSE
"HLA-DOB","Survived","Pre-response","None",-0.175042304413504,0.999507493356054,FALSE
"HMGN1","Survived","Pre-response","None",0.17459994916927,0.999507493356054,FALSE
"MEF2C","Survived","Pre-response","None",-0.173867258815103,0.999507493356054,FALSE
"S100A9","Survived","Pre-response","None",0.17132957358305,0.999507493356054,FALSE
"GTF3C1","Survived","Pre-response","None",-0.170115731140124,0.999507493356054,FALSE
"IL18RAP","Survived","Pre-response","None",0.169260175006777,0.999507493356054,FALSE
"PAX5","Survived","Pre-response","None",-0.168997037770222,0.999507493356054,FALSE
"S100A8","Survived","Pre-response","None",0.168926229844224,0.999507493356054,FALSE
"CD38","Survived","Pre-response","None",-0.168381686871504,0.999507493356054,FALSE
"CYSLTR2","Survived","Pre-response","None",-0.168062722401816,0.999507493356054,FALSE
"CD6","Survived","Pre-response","None",0.167906859130232,0.999507493356054,FALSE
"CD82","Survived","Pre-response","None",0.167436450365946,0.999507493356054,FALSE
"CD59","Survived","Pre-response","None",0.166415020302633,0.999507493356054,FALSE
"SPP1","Survived","Pre-response","None",0.166383487952168,0.999507493356054,FALSE
"GRB2","Survived","Pre-response","None",0.165812731510215,0.999507493356054,FALSE
"TGFB2","Survived","Pre-response","None",-0.165402491813481,0.999507493356054,FALSE
"CD8B","Survived","Pre-response","None",0.164717192525659,0.999507493356054,FALSE
"G6PD","Survived","Pre-response","None",0.164711701216357,0.999507493356054,FALSE
"ALOX15","Survived","Pre-response","None",-0.16390754404391,0.999507493356054,FALSE
"TAPBP","Survived","Pre-response","None",0.16319579614408,0.999507493356054,FALSE
"CCL3","Survived","Pre-response","None",0.162393153929481,0.999507493356054,FALSE
"IL1B","Survived","Pre-response","None",-0.162358578508201,0.999507493356054,FALSE
"KLRC2","Survived","Pre-response","None",-0.162351352052204,0.999507493356054,FALSE
"CD164","Survived","Pre-response","None",0.159899350610061,0.999507493356054,FALSE
"PDGFB","Survived","Pre-response","None",0.158011735088912,0.999507493356054,FALSE
"MCL1","Survived","Pre-response","None",-0.157649255742534,0.999507493356054,FALSE
"IL13RA1","Survived","Pre-response","None",0.157271781924122,0.999507493356054,FALSE
"ABCF1","Survived","Pre-response","None",0.157241285363009,0.999507493356054,FALSE
"MAP2K4","Survived","Pre-response","None",0.155099529889966,0.999507493356054,FALSE
"ATG12","Survived","Pre-response","None",0.154955466622347,0.999507493356054,FALSE
"DDX50","Survived","Pre-response","None",0.154834301482854,0.999507493356054,FALSE
"IL6ST","Survived","Pre-response","None",-0.15474029331827,0.999507493356054,FALSE
"GFI1","Survived","Pre-response","None",0.154727622049891,0.999507493356054,FALSE
"GATA3","Survived","Pre-response","None",0.154208212761728,0.999507493356054,FALSE
"KLRD1","Survived","Pre-response","None",0.154061232246166,0.999507493356054,FALSE
"NR3C1","Survived","Pre-response","None",-0.153116302460704,0.999507493356054,FALSE
"C9","Survived","Pre-response","None",0.152918310580715,0.999507493356054,FALSE
"IL18","Survived","Pre-response","None",-0.150817286237785,0.999507493356054,FALSE
"MMP9","Survived","Pre-response","None",0.149906201625896,0.999507493356054,FALSE
"IFI44","Survived","Pre-response","None",-0.149464797534606,0.999507493356054,FALSE
"TAGAP","Survived","Pre-response","None",0.14904313933603,0.999507493356054,FALSE
"IL11RA","Survived","Pre-response","None",-0.147892686532018,0.999507493356054,FALSE
"BCL6","Survived","Pre-response","None",0.147604329590402,0.999507493356054,FALSE
"C1QBP","Survived","Pre-response","None",0.14737222729687,0.999507493356054,FALSE
"HLA-DMA","Survived","Pre-response","None",0.146760364409886,0.999507493356054,FALSE
"DPP4","Survived","Pre-response","None",-0.146748914799902,0.999507493356054,FALSE
"IRF3","Survived","Pre-response","None",0.146531255538113,0.999507493356054,FALSE
"ITGB2","Survived","Pre-response","None",0.143244376995442,0.999507493356054,FALSE
"ATF2","Survived","Pre-response","None",-0.142962880892163,0.999507493356054,FALSE
"HMGB2","Survived","Pre-response","None",-0.142268881369391,0.999507493356054,FALSE
"NFKB2","Survived","Pre-response","None",-0.141667064060657,0.999507493356054,FALSE
"HLA-DRB1","Survived","Pre-response","None",0.141656166689653,0.999507493356054,FALSE
"TOLLIP","Survived","Pre-response","None",0.141418964971066,0.999507493356054,FALSE
"CD3D","Survived","Pre-response","None",0.140168415092925,0.999507493356054,FALSE
"SH2D1A","Survived","Pre-response","None",-0.140102537064779,0.999507493356054,FALSE
"CXCL10","Survived","Pre-response","None",0.13971226137599,0.999507493356054,FALSE
"CTSC","Survived","Pre-response","None",0.139237214124938,0.999507493356054,FALSE
"TGFBR1","Survived","Pre-response","None",-0.138962181243583,0.999507493356054,FALSE
"ARG2","Survived","Pre-response","None",-0.13879424811057,0.999507493356054,FALSE
"KLRB1","Survived","Pre-response","None",0.138336982895488,0.999507493356054,FALSE
"ADA","Survived","Pre-response","None",0.13723489410053,0.999507493356054,FALSE
"CSF1R","Survived","Pre-response","None",0.136917721842304,0.999507493356054,FALSE
"CXCL3","Survived","Pre-response","None",-0.136857876408195,0.999507493356054,FALSE
"SRC","Survived","Pre-response","None",-0.136368954784656,0.999507493356054,FALSE
"TAP1","Survived","Pre-response","None",0.135336049049718,0.999507493356054,FALSE
"TGFBR2","Survived","Pre-response","None",-0.135027096277712,0.999507493356054,FALSE
"RELB","Survived","Pre-response","None",-0.134674269034337,0.999507493356054,FALSE
"TRAF4","Survived","Pre-response","None",0.134543691878804,0.999507493356054,FALSE
