"Gene","Outcome","Group","Regulation","lfc","padj","Significant"
"IL-8","Survived","Late","Down",-1.03965159417078,0.00241995481605748,TRUE
"IL-17A","Survived","Late","None",0.960212159401155,0.0468111140081498,FALSE
"Myoglobin","Survived","Late","None",0.927568090813246,0.235368855755364,FALSE
"IFN-β","Survived","Late","None",0.916043604718628,0.04607217619599,FALSE
"Prothrombin","Survived","Late","None",-0.796033951455179,0.04607217619599,FALSE
"Antithrombin","Survived","Late","None",-0.69733309554038,0.00355075965544527,FALSE
"MIP-1α","Survived","Late","None",-0.663306389625772,0.00314012584514568,FALSE
"SAA","Survived","Late","None",-0.527920709777726,0.318344322884218,FALSE
"sCD40L","Survived","Late","None",0.514720003703157,0.452713208993886,FALSE
"MMP-2","Survived","Late","None",-0.430168860711891,0.344865036796729,FALSE
"Tissue Factor","Survived","Late","None",0.426853941697277,0.12661489532157,FALSE
"Plasminogen","Survived","Late","None",-0.420256624563219,0.170080266814601,FALSE
"IGFBP-4","Survived","Late","None",0.416600199824119,0.538651524531608,FALSE
"IL-10","Survived","Late","None",0.348183064603271,0.390594417113181,FALSE
"MPO","Survived","Late","None",0.325036442801172,0.538651524531608,FALSE
"MMP-9","Survived","Late","None",0.28775614506414,0.516139188050708,FALSE
"Factor XIII","Survived","Late","None",-0.258618028624589,0.277701940940447,FALSE
"NGAL","Survived","Late","None",-0.206813354954898,0.516139188050708,FALSE
"VCAM-1","Survived","Late","None",0.188182203001075,0.664211569290088,FALSE
"OPN","Survived","Late","None",0.155374869433917,0.538651524531608,FALSE
"Cystatin C","Survived","Late","None",-0.153231641084693,0.703921904317749,FALSE
"PSGL-1","Survived","Late","None",-0.11037877588026,0.538651524531608,FALSE
"ICAM-1","Survived","Late","None",0.0573326078666128,0.866944984585165,FALSE
"Fibrinogen","Survived","Late","None",0.0316957208300188,0.911975980811655,FALSE
"MRP8/14","Survived","Recovered","Up",2.21912037368111,0.02918927645698,TRUE
"tPA","Survived","Recovered","None",2.13947264490313,0.126970038856411,FALSE
"I-TAC","Survived","Recovered","None",1.57019917276958,0.233883485487348,FALSE
"IFN-γ","Survived","Recovered","None",1.39778339744467,0.41901544438262,FALSE
"RANTES","Survived","Recovered","None",1.38052668750424,0.539006809048529,FALSE
"TNF-α","Survived","Recovered","None",1.33306979552488,0.526602456386319,FALSE
"IL-1β","Survived","Recovered","None",1.27309971768277,0.491006309006142,FALSE
"MIG","Survived","Recovered","None",1.17785096708696,0.491006309006142,FALSE
"IP-10","Survived","Recovered","None",1.13082668597663,0.491006309006142,FALSE
"IL-23","Survived","Recovered","None",1.09450888434847,0.539006809048529,FALSE
"GM-CSF","Survived","Recovered","None",0.969623485488128,0.539006809048529,FALSE
"IL-12p40","Survived","Recovered","None",0.956752339974439,0.604412707863551,FALSE
"Eotaxin","Survived","Recovered","None",0.802263317244571,0.546050382310794,FALSE
"PAI-1","Survived","Recovered","None",0.718138733405222,0.539006809048529,FALSE
"IL-6","Survived","Recovered","None",0.650573332090859,0.695899324942959,FALSE
"IGFBP-4","Survived","Recovered","None",-0.556632867929679,0.652385225464982,FALSE
"IFN-β","Survived","Recovered","None",0.539775594815375,0.546050382310794,FALSE
"MIP-1β","Survived","Recovered","None",0.47623296911376,0.652385225464982,FALSE
"MCP-1","Survived","Recovered","None",0.435504644742378,0.695899324942959,FALSE
"Fibrinogen","Survived","Recovered","None",-0.434465380972341,0.539006809048529,FALSE
"Cystatin C","Survived","Recovered","None",0.401313768574408,0.631636832705715,FALSE
"IL-10","Survived","Recovered","None",0.371348181135604,0.631636832705715,FALSE
